ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-16,433.148008747124,419.94437449326716,441.35315746421577,433.148008747124,433.148008747124,-2.2250487824933303,-2.2250487824933303,-2.2250487824933303,-2.2250487824933303,-2.2250487824933303,-2.2250487824933303,0.0,0.0,0.0,430.92295996463065
2024-05-17,433.1436156256739,421.5487531511872,443.44495586479854,433.1436156256739,433.1436156256739,-0.7265034817151689,-0.7265034817151689,-0.7265034817151689,-0.7265034817151689,-0.7265034817151689,-0.7265034817151689,0.0,0.0,0.0,432.4171121439587
2024-05-18,433.13922250422377,430.6637863433379,452.3480090675231,433.13922250422377,433.13922250422377,8.163558175877577,8.163558175877577,8.163558175877577,8.163558175877577,8.163558175877577,8.163558175877577,0.0,0.0,0.0,441.30278068010136
2024-05-21,433.12604313987345,419.49724427149323,442.21479742991613,433.12604313987345,433.12604313987345,-2.389118141123986,-2.389118141123986,-2.389118141123986,-2.389118141123986,-2.389118141123986,-2.389118141123986,0.0,0.0,0.0,430.7369249987495
2024-05-22,433.12165001550295,419.6865377047239,441.4609516205662,433.12165001550295,433.12165001550295,-2.1779002766513873,-2.1779002766513873,-2.1779002766513873,-2.1779002766513873,-2.1779002766513873,-2.1779002766513873,0.0,0.0,0.0,430.9437497388516
2024-05-23,433.11725689113246,419.5633734296037,441.8967256925921,433.11725689113246,433.11725689113246,-2.2250487825011356,-2.2250487825011356,-2.2250487825011356,-2.2250487825011356,-2.2250487825011356,-2.2250487825011356,0.0,0.0,0.0,430.89220810863134
2024-05-24,433.11286376676196,421.3720921952839,442.90564422445107,433.11286376676196,433.11286376676196,-0.7265034817171085,-0.7265034817171085,-0.7265034817171085,-0.7265034817171085,-0.7265034817171085,-0.7265034817171085,0.0,0.0,0.0,432.3863602850449
2024-05-27,433.09968439365036,420.40921702498673,443.1212891813328,433.09968439365036,433.09968439365036,-1.605341444241833,-1.605341444241833,-1.605341444241833,-1.605341444241833,-1.605341444241833,-1.605341444241833,0.0,0.0,0.0,431.4943429494085
2024-05-28,433.09529126927987,419.2623932604942,441.9473760891391,433.09529126927987,433.09529126927987,-2.3891181411327667,-2.3891181411327667,-2.3891181411327667,-2.3891181411327667,-2.3891181411327667,-2.3891181411327667,0.0,0.0,0.0,430.7061731281471
2024-05-29,433.0908981449094,419.42804469057927,442.0948812002499,433.0908981449094,433.0908981449094,-2.1779002766425344,-2.1779002766425344,-2.1779002766425344,-2.1779002766425344,-2.1779002766425344,-2.1779002766425344,0.0,0.0,0.0,430.9129978682668
2024-05-30,433.0865050205389,419.08210590808517,441.5248011366624,433.0865050205389,433.0865050205389,-2.225048782498298,-2.225048782498298,-2.225048782498298,-2.225048782498298,-2.225048782498298,-2.225048782498298,0.0,0.0,0.0,430.8614562380406
2024-05-31,433.08211189616827,420.3814413366903,443.86297450430925,433.08211189616827,433.08211189616827,-0.7265034817073317,-0.7265034817073317,-0.7265034817073317,-0.7265034817073317,-0.7265034817073317,-0.7265034817073317,0.0,0.0,0.0,432.35560841446096
2024-06-03,433.06893255005537,419.5654755050097,442.8531397222145,433.06893255005537,433.06893255005537,-1.605341444235147,-1.605341444235147,-1.605341444235147,-1.605341444235147,-1.605341444235147,-1.605341444235147,0.0,0.0,0.0,431.4635911058202
2024-06-04,433.0645394346844,419.55756404562834,441.8868050077626,433.0645394346844,433.0645394346844,-2.3891181411148343,-2.3891181411148343,-2.3891181411148343,-2.3891181411148343,-2.3891181411148343,-2.3891181411148343,0.0,0.0,0.0,430.67542129356957
2024-06-05,433.06014631931345,419.34458098049413,442.13134421181513,433.06014631931345,433.06014631931345,-2.177900276660318,-2.177900276660318,-2.177900276660318,-2.177900276660318,-2.177900276660318,-2.177900276660318,0.0,0.0,0.0,430.88224604265315
2024-06-06,433.0557532039424,419.63198571872385,442.2632445635446,433.0557532039424,433.0557532039424,-2.2250487824954606,-2.2250487824954606,-2.2250487824954606,-2.2250487824954606,-2.2250487824954606,-2.2250487824954606,0.0,0.0,0.0,430.83070442144697
2024-06-07,433.0513600885714,421.02422988286554,443.449932966604,433.0513600885714,433.0513600885714,-0.7265034817323396,-0.7265034817323396,-0.7265034817323396,-0.7265034817323396,-0.7265034817323396,-0.7265034817323396,0.0,0.0,0.0,432.3248566068391
2024-06-10,433.0381807424585,420.5897805917988,442.14772080242943,433.0381807424585,433.0381807424585,-1.6053414442392104,-1.6053414442392104,-1.6053414442392104,-1.6053414442392104,-1.6053414442392104,-1.6053414442392104,0.0,0.0,0.0,431.4328392982193
2024-06-11,433.03378762708746,419.2385458698464,442.502889235203,433.03378762708746,433.03378762708746,-2.389118141123614,-2.389118141123614,-2.389118141123614,-2.389118141123614,-2.389118141123614,-2.389118141123614,0.0,0.0,0.0,430.64466948596385
2024-06-12,433.0293945117165,418.73084825609544,441.2535691104567,433.0293945117165,433.0293945117165,-2.1779002766568882,-2.1779002766568882,-2.1779002766568882,-2.1779002766568882,-2.1779002766568882,-2.1779002766568882,0.0,0.0,0.0,430.8514942350596
2024-06-13,433.0250014575845,419.84962344604,440.9424170221212,433.0250014575845,433.0250014575845,-2.2250487824926233,-2.2250487824926233,-2.2250487824926233,-2.2250487824926233,-2.2250487824926233,-2.2250487824926233,0.0,0.0,0.0,430.79995267509184
2024-06-14,433.02060840345257,419.56122976112914,443.3780564941834,433.02060840345257,433.02060840345257,-0.7265034817225624,-0.7265034817225624,-0.7265034817225624,-0.7265034817225624,-0.7265034817225624,-0.7265034817225624,0.0,0.0,0.0,432.29410492173
2024-06-18,433.0030361869247,419.06755511935745,441.672377795496,433.0030361869247,433.0030361869247,-2.389118141127496,-2.389118141127496,-2.389118141127496,-2.389118141127496,-2.389118141127496,-2.389118141127496,0.0,0.0,0.0,430.6139180457972
2024-06-19,432.9986431327927,419.55100675807546,441.5619824202257,432.9986431327927,432.9986431327927,-2.177900276661354,-2.177900276661354,-2.177900276661354,-2.177900276661354,-2.177900276661354,-2.177900276661354,0.0,0.0,0.0,430.82074285613135
2024-06-20,432.99425007866074,419.1829914018819,441.4419559473253,432.99425007866074,432.99425007866074,-2.225048782500429,-2.225048782500429,-2.225048782500429,-2.225048782500429,-2.225048782500429,-2.225048782500429,0.0,0.0,0.0,430.7692012961603
2024-06-21,432.98985702452876,421.17094907401463,442.81347590575496,432.98985702452876,432.98985702452876,-0.7265034817186437,-0.7265034817186437,-0.7265034817186437,-0.7265034817186437,-0.7265034817186437,-0.7265034817186437,0.0,0.0,0.0,432.26335354281014
2024-06-24,432.9766778621329,420.11938555481385,442.6703950411159,432.9766778621329,432.9766778621329,-1.6053414442473373,-1.6053414442473373,-1.6053414442473373,-1.6053414442473373,-1.6053414442473373,-1.6053414442473373,0.0,0.0,0.0,431.3713364178855
2024-06-25,432.97228480800084,419.49563910108765,443.14679120973335,432.97228480800084,432.97228480800084,-2.3891181411362776,-2.3891181411362776,-2.3891181411362776,-2.3891181411362776,-2.3891181411362776,-2.3891181411362776,0.0,0.0,0.0,430.58316666686454
2024-06-26,434.4260928809181,421.3610739484535,443.8015481332142,434.4260928809181,434.4260928809181,-2.1779002766525,-2.1779002766525,-2.1779002766525,-2.1779002766525,-2.1779002766525,-2.1779002766525,0.0,0.0,0.0,432.24819260426557
2024-06-27,435.8799009538353,421.92325449454967,445.33901087297824,435.8799009538353,435.8799009538353,-2.225048782486949,-2.225048782486949,-2.225048782486949,-2.225048782486949,-2.225048782486949,-2.225048782486949,0.0,0.0,0.0,433.65485217134835
2024-06-28,437.3337090267525,425.50110271869903,447.4763935924665,437.3337090267525,437.3337090267525,-0.7265034817147252,-0.7265034817147252,-0.7265034817147252,-0.7265034817147252,-0.7265034817147252,-0.7265034817147252,0.0,0.0,0.0,436.6072055450378
2024-07-01,441.69513324550417,429.06606712560495,451.43649278506626,441.69513324550417,441.69513324550417,-1.6053414442406513,-1.6053414442406513,-1.6053414442406513,-1.6053414442406513,-1.6053414442406513,-1.6053414442406513,0.0,0.0,0.0,440.0897918012635
2024-07-02,443.1489413184214,430.0536906751934,452.31401475076854,443.1489413184214,443.1489413184214,-2.3891181411317,-2.3891181411317,-2.3891181411317,-2.3891181411317,-2.3891181411317,-2.3891181411317,0.0,0.0,0.0,440.7598231772897
2024-07-03,444.6027493913386,431.62479527221495,453.5843255097983,444.6027493913386,444.6027493913386,-2.177900276643647,-2.177900276643647,-2.177900276643647,-2.177900276643647,-2.177900276643647,-2.177900276643647,0.0,0.0,0.0,442.42484911469495
2024-07-04,446.05655746425583,432.926166935246,455.1168416517238,446.05655746425583,446.05655746425583,-2.2250487824970375,-2.2250487824970375,-2.2250487824970375,-2.2250487824970375,-2.2250487824970375,-2.2250487824970375,0.0,0.0,0.0,443.8315086817588
2024-07-05,447.5103655371731,435.59931466495806,458.0002852249832,447.5103655371731,447.5103655371731,-0.7265034817108061,-0.7265034817108061,-0.7265034817108061,-0.7265034817108061,-0.7265034817108061,-0.7265034817108061,0.0,0.0,0.0,446.7838620554623
2024-07-08,452.23794827949024,439.3640134510748,461.90878449753916,452.23794827949024,452.23794827949024,-1.6053414442554643,-1.6053414442554643,-1.6053414442554643,-1.6053414442554643,-1.6053414442554643,-1.6053414442554643,0.0,0.0,0.0,450.63260683523475
2024-07-09,453.81380919359594,440.01625103791173,461.37867918901594,453.81380919359594,453.81380919359594,-2.389118141122226,-2.389118141122226,-2.389118141122226,-2.389118141122226,-2.389118141122226,-2.389118141122226,0.0,0.0,0.0,451.4246910524737
2024-07-10,455.38967010770176,441.46076923550055,463.7944584605145,455.38967010770176,455.38967010770176,-2.1779002766614313,-2.1779002766614313,-2.1779002766614313,-2.1779002766614313,-2.1779002766614313,-2.1779002766614313,0.0,0.0,0.0,453.21176983104033
2024-07-11,456.96553102180746,443.4196928766323,466.29821763894535,456.96553102180746,456.96553102180746,-2.2250487824942002,-2.2250487824942002,-2.2250487824942002,-2.2250487824942002,-2.2250487824942002,-2.2250487824942002,0.0,0.0,0.0,454.7404822393133
2024-07-12,458.5413919359132,445.9929137319694,468.49851753009887,458.5413919359132,458.5413919359132,-0.7265034817010294,-0.7265034817010294,-0.7265034817010294,-0.7265034817010294,-0.7265034817010294,-0.7265034817010294,0.0,0.0,0.0,457.8148884542122
2024-07-15,463.2689746782304,450.79552974796854,473.02303920769685,463.2689746782304,463.2689746782304,-1.6053414442398761,-1.6053414442398761,-1.6053414442398761,-1.6053414442398761,-1.6053414442398761,-1.6053414442398761,0.0,0.0,0.0,461.66363323399054
2024-07-16,464.84483559233615,451.8647880211852,473.06834945757305,464.84483559233615,464.84483559233615,-2.38911814111765,-2.38911814111765,-2.38911814111765,-2.38911814111765,-2.38911814111765,-2.38911814111765,0.0,0.0,0.0,462.4557174512185
2024-07-18,467.9965574205477,455.2282272882375,477.77396475761174,467.9965574205477,467.9965574205477,-2.225048782502006,-2.225048782502006,-2.225048782502006,-2.225048782502006,-2.225048782502006,-2.225048782502006,0.0,0.0,0.0,465.77150863804565
2024-07-19,469.57241679829684,457.5875111641704,480.0496319042975,469.57241679829684,469.57241679829684,-0.7265034817029692,-0.7265034817029692,-0.7265034817029692,-0.7265034817029692,-0.7265034817029692,-0.7265034817029692,0.0,0.0,0.0,468.84591331659385
2024-07-22,474.29999493154446,462.151147245512,483.83722014872484,474.29999493154446,474.29999493154446,-1.605341444243939,-1.605341444243939,-1.605341444243939,-1.605341444243939,-1.605341444243939,-1.605341444243939,0.0,0.0,0.0,472.6946534873005
2024-07-23,475.87585430929363,462.0494931350106,484.9289155370669,475.87585430929363,475.87585430929363,-2.38911814112643,-2.38911814112643,-2.38911814112643,-2.38911814112643,-2.38911814112643,-2.38911814112643,0.0,0.0,0.0,473.4867361681672
